rock_type,mu_log10_K,p_mu_log10_K
Silt,-9.4,0.0814708582528882
Silt,-9.3,0.0851176504627927
Silt,-9.2,0.0886595987959949
Silt,-9.1,0.0921158094907526
Silt,-9,0.095566931579379
Silt,-8.9,0.0990910219005137
Silt,-8.8,0.102714536089117
Silt,-8.7,0.106425098311892
Silt,-8.6,0.110214056491491
Silt,-8.5,0.114103005278749
Silt,-8.4,0.11809947197175
Silt,-8.3,0.122128631674798
Silt,-8.2,0.126058777194556
Silt,-8.1,0.129761470635714
Silt,-8,0.13317690802544
Silt,-7.9,0.136312029369091
Silt,-7.8,0.139185580167806
Silt,-7.7,0.141825367470931
Silt,-7.6,0.144294532610861
Silt,-7.5,0.14666589955401
Silt,-7.4,0.148989156506613
Silt,-7.3,0.151230816279395
Silt,-7.2,0.15324645055967
Silt,-7.1,0.154789975743951
Silt,-7,0.155655819579806
Silt,-6.9,0.155791931413968
Silt,-6.8,0.155330761417308
Silt,-6.7,0.154563390167372
Silt,-6.6,0.15374303953134
Silt,-6.5,0.152948935977329
Silt,-6.4,0.152071498286172
Silt,-6.3,0.150913489245882
Silt,-6.2,0.149302072126133
Silt,-6.1,0.147132978620293
Silt,-6,0.144443677234601
Silt,-5.9,0.141336726162545
Silt,-5.8,0.137951101815777
Silt,-5.7,0.134430713192106
Silt,-5.6,0.130847343367915
Silt,-5.5,0.127197817918091
Silt,-5.4,0.123450026658045
Silt,-5.3,0.119610808884739
Silt,-5.2,0.115738651156143
Silt,-5.1,0.11190780751863
Silt,-5,0.108133988016154
Silt,-4.9,0.104362006519863
Silt,-4.8,0.100508721331157
Silt,-4.7,0.0965566197185962
Silt,-4.6,0.0925803760038466
Silt,-4.5,0.0887091019030452
Silt,-4.4,0.0850265135184567
Silt,-4.3,0.0815130308656484
Silt,-4.2,0.0780769560364452
Silt,-4.1,0.0746186032562048
Silt,-4,0.0711066387440779
Silt,-3.9,0.0675890495128951
Silt,-3.8,0.0641743367714117
Silt,-3.7,0.0609678910487389
Silt,-3.6,0.0580359701304872
Silt,-3.5,0.0553977414659502
Silt,-3.4,0.0529933370694352
Silt,-3.3,0.0507359667807937
Silt,-3.2,0.0485323787415001
Silt,-3.1,0.0463229630584404
Silt,-3,0.0441149695504384
Silt,-2.9,0.0419644199179157
Silt,-2.8,0.0399372844358307
Silt,-2.7,0.0380712176131709
Silt,-2.6,0.0363813727509919
Silt,-2.5,0.0348583450046815
Silt,-2.4,0.0334522580799536
Silt,-2.3,0.0321019396357444
Silt,-2.2,0.0307576214718307
Silt,-2.1,0.0294084667732039
Silt,-2,0.0280742884050197
Silt,-1.9,0.0267803992997396
Silt,-1.8,0.0255395851140357
Silt,-1.7,0.0243530215266243
Silt,-1.6,0.0232126201255044
Silt,-1.5,0.0220945557503326
Silt,-1.4,0.020970843660579
Silt,-1.3,0.0198344948142165
Silt,-1.2,0.0187164863287835
Silt,-1.1,0.0176677857924809
Silt,-1,0.0167232965870762
Silt,-0.899999999999999,0.0158857592574961
Silt,-0.799999999999999,0.0151222519294181
Silt,-0.699999999999999,0.0144014844504071
Silt,-0.6,0.0137056665024606
Silt,-0.5,0.0130341152025228
Silt,-0.399999999999999,0.0124016356490326
Silt,-0.299999999999999,0.0118297864749595
Silt,-0.199999999999999,0.0113300052506763
Silt,-0.0999999999999996,0.0108904432338548
Silt,0,0.0104871327020409
Gravel,-15,0.000823120159932902
Gravel,-14.9,0.000748478514886353
Gravel,-14.8,0.000659892594766506
Gravel,-14.7,0.000602403624523098
Gravel,-14.6,0.000607013928195296
Gravel,-14.5,0.000671040486451569
Gravel,-14.4,0.000763154143195811
Gravel,-14.3,0.000850760896174377
Gravel,-14.2,0.000913577444084896
Gravel,-14.1,0.000940686783258442
Gravel,-14,0.000939290624527346
Gravel,-13.9,0.000939529798433333
Gravel,-13.8,0.000962477581844195
Gravel,-13.7,0.000996308567936386
Gravel,-13.6,0.00101462290042162
Gravel,-13.5,0.00101873134579522
Gravel,-13.4,0.00104384272832322
Gravel,-13.3,0.00112138003321778
Gravel,-13.2,0.00124997161003837
Gravel,-13.1,0.00140286701097697
Gravel,-13,0.00155479953683255
Gravel,-12.9,0.00168569546201682
Gravel,-12.8,0.00177015417720896
Gravel,-12.7,0.00179415844060596
Gravel,-12.6,0.00178437477119519
Gravel,-12.5,0.00180259999855739
Gravel,-12.4,0.00191235721748541
Gravel,-12.3,0.00212436824662849
Gravel,-12.2,0.00236193247323608
Gravel,-12.1,0.00252961582929248
Gravel,-12,0.00261354966418152
Gravel,-11.9,0.0026737882361868
Gravel,-11.8,0.00274849230913493
Gravel,-11.7,0.00280845620946326
Gravel,-11.6,0.00283208907003481
Gravel,-11.5,0.00285183423254638
Gravel,-11.4,0.00292449635156646
Gravel,-11.3,0.00308714972641121
Gravel,-11.2,0.00332868295987248
Gravel,-11.1,0.00359062741969838
Gravel,-11,0.00381783731733151
Gravel,-10.9,0.00403169748529209
Gravel,-10.8,0.00431397124217057
Gravel,-10.7,0.004712241856177
Gravel,-10.6,0.0051940875747123
Gravel,-10.5,0.00564897807004372
Gravel,-10.4,0.00595256452533131
Gravel,-10.3,0.0060916051465372
Gravel,-10.2,0.00619465887721266
Gravel,-10.1,0.00641169683401561
Gravel,-10,0.00676955811175937
Gravel,-9.9,0.00718892600050808
Gravel,-9.8,0.00761463600691222
Gravel,-9.7,0.00805279398343353
Gravel,-9.6,0.00853533155095953
Gravel,-9.5,0.0090965879686764
Gravel,-9.4,0.00977048456444442
Gravel,-9.3,0.0105333247567923
Gravel,-9.2,0.0112576547591955
Gravel,-9.1,0.0118203633219772
Gravel,-9,0.0122831269833277
Gravel,-8.9,0.0128528539060693
Gravel,-8.8,0.0136653300891906
Gravel,-8.7,0.0146358906781665
Gravel,-8.6,0.0155924688813117
Gravel,-8.5,0.0165169329593084
Gravel,-8.4,0.0175333538873377
Gravel,-8.3,0.0187588962250092
Gravel,-8.2,0.0201900842323446
Gravel,-8.1,0.0217323005739208
Gravel,-8,0.0232830083382186
Gravel,-7.9,0.0248162899352603
Gravel,-7.8,0.026398556739003
Gravel,-7.7,0.0280972284343885
Gravel,-7.6,0.0299006629962465
Gravel,-7.5,0.0317466897076432
Gravel,-7.4,0.0336273441033
Gravel,-7.3,0.0356246556453495
Gravel,-7.2,0.0378481749915927
Gravel,-7.1,0.0403854989107128
Gravel,-7,0.0432737352920743
Gravel,-6.9,0.0464317120932123
Gravel,-6.8,0.049673212209176
Gravel,-6.7,0.0528177158749359
Gravel,-6.6,0.0558586652196818
Gravel,-6.5,0.0590892604412641
Gravel,-6.4,0.062902873128096
Gravel,-6.3,0.0674430073789434
Gravel,-6.2,0.0724909110772266
Gravel,-6.1,0.0776414698577197
Gravel,-6,0.0825928063310718
Gravel,-5.9,0.0873438132815151
Gravel,-5.8,0.0921452882220927
Gravel,-5.7,0.0973067967288235
Gravel,-5.6,0.103007268087664
Gravel,-5.5,0.109254848143495
Gravel,-5.4,0.115945288006419
Gravel,-5.3,0.122874705197125
Gravel,-5.2,0.129853923668778
Gravel,-5.1,0.136910096459919
Gravel,-5,0.144280054504553
Gravel,-4.9,0.152101794655658
Gravel,-4.8,0.160000183217468
Gravel,-4.7,0.167160806936652
Gravel,-4.6,0.173246629452087
Gravel,-4.5,0.178818663053706
Gravel,-4.4,0.184602130052949
Gravel,-4.3,0.190596556165523
Gravel,-4.2,0.196336853266291
Gravel,-4.1,0.201543390335288
Gravel,-4,0.206090925609364
Gravel,-3.9,0.209887779014542
Gravel,-3.8,0.213047525712159
Gravel,-3.7,0.215575207089851
Gravel,-3.6,0.217032072594846
Gravel,-3.5,0.216838024735767
Gravel,-3.4,0.215077965986255
Gravel,-3.3,0.21245325529917
Gravel,-3.2,0.209374179016758
Gravel,-3.1,0.205568927533693
Gravel,-3,0.200549029940181
Gravel,-2.9,0.194318899372331
Gravel,-2.8,0.187306835103356
Gravel,-2.7,0.180139440532197
Gravel,-2.6,0.173278308061254
Gravel,-2.5,0.166510403498485
Gravel,-2.4,0.159181294989293
Gravel,-2.3,0.151039259417135
Gravel,-2.2,0.142583736555618
Gravel,-2.1,0.13451945329429
Gravel,-2,0.12702346549582
Gravel,-1.9,0.119798906809795
Gravel,-1.8,0.112515026098803
Gravel,-1.7,0.105188528340605
Gravel,-1.6,0.0982092502130732
Gravel,-1.5,0.0919894966094304
Gravel,-1.4,0.0866607879990786
Gravel,-1.3,0.0819995394751096
Gravel,-1.2,0.077568913411212
Gravel,-1.1,0.0730350609019424
Gravel,-1,0.0683554542562921
Gravel,-0.899999999999999,0.0637890311159766
Gravel,-0.799999999999999,0.0596656167374625
Gravel,-0.699999999999999,0.0560373521507577
Gravel,-0.6,0.0527297221328313
Gravel,-0.5,0.0495632266899551
Gravel,-0.399999999999999,0.0464559600317382
Gravel,-0.299999999999999,0.0434070183061212
Gravel,-0.199999999999999,0.0405145616147649
Gravel,-0.0999999999999996,0.0379053885065861
Gravel,0,0.0355766757418623
Clay,-15,0.00346993539865232
Clay,-14.9,0.00351402564253193
Clay,-14.8,0.00367099074668696
Clay,-14.7,0.00393532117067866
Clay,-14.6,0.00424489715418633
Clay,-14.5,0.00453784328615717
Clay,-14.4,0.00478380663056512
Clay,-14.3,0.00499345804365344
Clay,-14.2,0.00519475205562557
Clay,-14.1,0.00540694920505018
Clay,-14,0.00563145257212865
Clay,-13.9,0.00585927575196927
Clay,-13.8,0.00609279406656921
Clay,-13.7,0.00635106915154107
Clay,-13.6,0.0066522781710629
Clay,-13.5,0.00699201678257313
Clay,-13.4,0.00736350618419682
Clay,-13.3,0.00778596805463255
Clay,-13.2,0.00829630112604439
Clay,-13.1,0.0088997910999295
Clay,-13,0.0095521718681832
Clay,-12.9,0.0101903132469775
Clay,-12.8,0.010793451326093
Clay,-12.7,0.0113939189848193
Clay,-12.6,0.0120358323557735
Clay,-12.5,0.0127343084123355
Clay,-12.4,0.0134683399629091
Clay,-12.3,0.0142103448674795
Clay,-12.2,0.0149359361842152
Clay,-12.1,0.0156288857650538
Clay,-12,0.0163009022446966
Clay,-11.9,0.0170107295822394
Clay,-11.8,0.0178589069377548
Clay,-11.7,0.0189152830376716
Clay,-11.6,0.0201724773685374
Clay,-11.5,0.0215485442151343
Clay,-11.4,0.0229311847991104
Clay,-11.3,0.0242561119403802
Clay,-11.2,0.0255493826773213
Clay,-11.1,0.0269277396426176
Clay,-11,0.0285483640020592
Clay,-10.9,0.0305110947800686
Clay,-10.8,0.032789398665397
Clay,-10.7,0.035195540220092
Clay,-10.6,0.0374700759846764
Clay,-10.5,0.0395022301519712
Clay,-10.4,0.0414356210938494
Clay,-10.3,0.0436020021579076
Clay,-10.2,0.0462467644890917
Clay,-10.1,0.0493887127337056
Clay,-10,0.0528569875858886
Clay,-9.9,0.0564181042088527
Clay,-9.8,0.0599385886091584
Clay,-9.7,0.0634065325168097
Clay,-9.6,0.066870195226644
Clay,-9.5,0.0703562211568588
Clay,-9.4,0.0738648304601269
Clay,-9.3,0.077438151618477
Clay,-9.2,0.0811876688686177
Clay,-9.1,0.0851873245338851
Clay,-9,0.0893991817591224
Clay,-8.9,0.0937371906005907
Clay,-8.8,0.0982378464307495
Clay,-8.7,0.10309809886304
Clay,-8.6,0.108472429477002
Clay,-8.5,0.114244240015116
Clay,-8.4,0.12001419298958
Clay,-8.3,0.125420832170663
Clay,-8.2,0.130318330571311
Clay,-8.1,0.134790960745707
Clay,-8,0.139006453213075
Clay,-7.9,0.143031096425855
Clay,-7.8,0.146807051383443
Clay,-7.7,0.150296255995354
Clay,-7.6,0.153618865940533
Clay,-7.5,0.156968957364835
Clay,-7.4,0.160379135343442
Clay,-7.3,0.163626240580904
Clay,-7.2,0.166473699942655
Clay,-7.1,0.168854693343113
Clay,-7,0.170817200484234
Clay,-6.9,0.172362267012524
Clay,-6.8,0.173427954893045
Clay,-6.7,0.17400534224729
Clay,-6.6,0.174187224591808
Clay,-6.5,0.174033863659485
Clay,-6.4,0.17350452658105
Clay,-6.3,0.1724781734774
Clay,-6.2,0.170865484030682
Clay,-6.1,0.168621622680822
Clay,-6,0.165778558444261
Clay,-5.9,0.162491472241243
Clay,-5.8,0.158995232623619
Clay,-5.7,0.155443600483901
Clay,-5.6,0.151828469992069
Clay,-5.5,0.148038944998757
Clay,-5.4,0.144000927915816
Clay,-5.3,0.139701556722421
Clay,-5.2,0.135139239536234
Clay,-5.1,0.130334286186711
Clay,-5,0.125343351957126
Clay,-4.9,0.120266229206184
Clay,-4.8,0.115204750549413
Clay,-4.7,0.110230806737709
Clay,-4.6,0.105420262848599
Clay,-4.5,0.100871237164309
Clay,-4.4,0.0966049874485207
Clay,-4.3,0.0925067140688633
Clay,-4.2,0.0883924921578748
Clay,-4.1,0.0841434110947443
Clay,-4,0.0797909586402538
Clay,-3.9,0.0754374489387308
Clay,-3.8,0.0712037924777024
Clay,-3.7,0.0672297633687476
Clay,-3.6,0.0636208826642167
Clay,-3.5,0.0603714460104388
Clay,-3.4,0.0573394736407184
Clay,-3.3,0.0543565974251969
Clay,-3.2,0.0513959048033514
Clay,-3.1,0.0485482413587352
Clay,-3,0.045890361035788
Clay,-2.9,0.0433821261402547
Clay,-2.8,0.0409589781671188
Clay,-2.7,0.0386267152104815
Clay,-2.6,0.0364485198612629
Clay,-2.5,0.0344368180999181
Clay,-2.4,0.0325347581402045
Clay,-2.3,0.0306902030335718
Clay,-2.2,0.0289190888097696
Clay,-2.1,0.0272606366734088
Clay,-2,0.0257045913923799
Clay,-1.9,0.0241992257271044
Clay,-1.8,0.0227280254881479
Clay,-1.7,0.021340803815001
Clay,-1.6,0.020105462930823
Clay,-1.5,0.0190437890661426
Clay,-1.4,0.0181141135005777
Clay,-1.3,0.0172463576626999
Clay,-1.2,0.016371769146919
Clay,-1.1,0.0154617391506694
Clay,-1,0.0145291252676764
Clay,-0.899999999999999,0.0135894668273424
Clay,-0.799999999999999,0.0126460361777201
Clay,-0.699999999999999,0.0117280590344414
Clay,-0.6,0.010907230798157
Clay,-0.5,0.0102486373271343
Clay,-0.399999999999999,0.00973971978433822
Clay,-0.299999999999999,0.00930482336387781
Clay,-0.199999999999999,0.00887878041576182
Clay,-0.0999999999999996,0.00843979362662052
Clay,0,0.00800735935265242
