rock_type,sigma_log10_K,p_sigma_log10_K
Sand,0.001,7.49686514174834e-17
Sand,0.002,7.51773281826476e-17
Sand,0.003,7.53860049478119e-17
Sand,0.004,7.42629384404245e-17
Sand,0.005,5.90052331084553e-17
Sand,0.006,4.37475277764861e-17
Sand,0.007,2.84898224445169e-17
Sand,0.008,2.0415973097776e-17
Sand,0.009,4.68736133163937e-17
Sand,0.01,7.33312535350115e-17
Sand,0.011,9.97888937536292e-17
Sand,0.012,1.12999640140234e-16
Sand,0.013,8.81757443879508e-17
Sand,0.014,6.33518486356681e-17
Sand,0.015,3.85279528833854e-17
Sand,0.016,2.30580672747038e-17
Sand,0.017,2.53926896098081e-17
Sand,0.018,2.77273119449124e-17
Sand,0.019,3.00619342800167e-17
Sand,0.02,3.02251280840054e-17
Sand,0.021,2.75161141491094e-17
Sand,0.022,2.48071002142135e-17
Sand,0.023,2.20980862793175e-17
Sand,0.024,4.71644655432287e-17
Sand,0.025,9.82176710196599e-17
Sand,0.026,1.49270876496091e-16
Sand,0.027,2.00324081972523e-16
Sand,0.028,1.89029690467045e-16
Sand,0.029,1.36642564587129e-16
Sand,0.03,8.42554387072125e-17
Sand,0.031,3.18683128272962e-17
Sand,0.032,5.07011978968004e-17
Sand,0.033,1.0170448563948e-16
Sand,0.034,1.5270777338216e-16
Sand,0.035,2.03711061124839e-16
Sand,0.036,1.97864667314417e-16
Sand,0.037,1.75508896285291e-16
Sand,0.038,1.53153125256166e-16
Sand,0.039,1.3079735422704e-16
Sand,0.04,1.92787793390674e-16
Sand,0.041,2.68388643744502e-16
Sand,0.042,3.43989494098331e-16
Sand,0.043,4.19590344452159e-16
Sand,0.044,4.21372344150789e-16
Sand,0.045,4.19036350114522e-16
Sand,0.046,4.16700356078255e-16
Sand,0.047,4.10919318482201e-16
Sand,0.048,3.05029368031164e-16
Sand,0.049,1.99139417580128e-16
Sand,0.05,9.32494671290919e-17
Sand,0.051,0
Sand,0.052,0
Sand,0.053,0
Sand,0.054,0
Sand,0.055,1.4321372459838e-19
Sand,0.056,8.40187184310487e-19
Sand,0.057,1.53716064402259e-18
Sand,0.058,2.2341341037347e-18
Sand,0.059,2.01967730945462e-17
Sand,0.06,8.01068679394367e-17
Sand,0.061,1.40016962784327e-16
Sand,0.062,1.99927057629217e-16
Sand,0.063,2.75721813956582e-16
Sand,0.064,3.77689224954553e-16
Sand,0.065,4.79656635952524e-16
Sand,0.066,5.81624046950495e-16
Sand,0.067,7.09547747896545e-16
Sand,0.068,8.67479986588474e-16
Sand,0.069,1.0254122252804e-15
Sand,0.07,1.18334446397233e-15
Sand,0.071,1.16025953834926e-15
Sand,0.072,9.89011097450574e-16
Sand,0.073,8.17762656551886e-16
Sand,0.074,6.46514215653201e-16
Sand,0.075,6.73562458289405e-16
Sand,0.076,8.1409741827173e-16
Sand,0.077,9.54632378254056e-16
Sand,0.078,1.09516733823638e-15
Sand,0.079,9.52856824214622e-16
Sand,0.08,7.01700626429775e-16
Sand,0.081,4.50544428644927e-16
Sand,0.082,1.99388230860079e-16
Sand,0.083,1.21071298262301e-16
Sand,0.084,8.37670726580629e-17
Sand,0.085,4.64628470538245e-17
Sand,0.086,9.15862144958606e-18
Sand,0.087,4.59622980648045e-17
Sand,0.088,9.1522707108579e-17
Sand,0.089,1.37083116152353e-16
Sand,0.09,1.82643525196127e-16
Sand,0.091,1.63444736983016e-16
Sand,0.092,1.42953350022263e-16
Sand,0.093,1.2246196306151e-16
Sand,0.094,1.06512536855153e-16
Sand,0.095,1.54284148291363e-16
Sand,0.096,2.02055759727573e-16
Sand,0.097,2.49827371163782e-16
Sand,0.098,2.83426767314518e-16
Sand,0.099,2.38352199124102e-16
Sand,0.1,1.93277630933685e-16
Sand,0.101,1.48203062743269e-16
Sand,0.102,1.59921818775097e-16
Sand,0.103,3.52727485646691e-16
Sand,0.104,5.45533152518285e-16
Sand,0.105,7.38338819389879e-16
Sand,0.106,9.21547615834285e-16
Sand,0.107,1.08481110928243e-15
Sand,0.108,1.24807460273058e-15
Sand,0.109,1.41133809617873e-15
Sand,0.11,1.42198999789173e-15
Sand,0.111,1.21389861811768e-15
Sand,0.112,1.00580723834363e-15
Sand,0.113,7.97715858569578e-16
Sand,0.114,6.5105405919142e-16
Sand,0.115,5.665473864343e-16
Sand,0.116,4.82040713677179e-16
Sand,0.117,3.97534040920059e-16
Sand,0.118,3.9062163192013e-16
Sand,0.119,4.39170894666111e-16
Sand,0.12,4.87720157412091e-16
Sand,0.121,5.3626942015807e-16
Sand,0.122,4.99781278796395e-16
Sand,0.123,4.21271730141755e-16
Sand,0.124,3.42762181487116e-16
Sand,0.125,2.64252632832477e-16
Sand,0.126,2.29485974499451e-16
Sand,0.127,2.08884759923424e-16
Sand,0.128,1.88283545347396e-16
Sand,0.129,1.67682330771369e-16
Sand,0.13,1.34123336819757e-16
Sand,0.131,9.81234588462331e-17
Sand,0.132,6.21235808727088e-17
Sand,0.133,2.61237028991846e-17
Sand,0.134,9.91669640256106e-17
Sand,0.135,1.80722031368698e-16
Sand,0.136,2.62277098711785e-16
Sand,0.137,3.43799009765405e-16
Sand,0.138,4.22933667977429e-16
Sand,0.139,5.02068326189452e-16
Sand,0.14,5.81202984401476e-16
Sand,0.141,6.51074464057367e-16
Sand,0.142,6.37395705756006e-16
Sand,0.143,6.23716947454645e-16
Sand,0.144,6.10038189153284e-16
Sand,0.145,5.84663448444782e-16
Sand,0.146,5.08072616353441e-16
Sand,0.147,4.31481784262099e-16
Sand,0.148,3.54890952170756e-16
Sand,0.149,3.01411010162831e-16
Sand,0.15,3.097817955724e-16
Sand,0.151,3.18152580981968e-16
Sand,0.152,3.26523366391537e-16
Sand,0.153,3.44511967450343e-16
Sand,0.154,3.79739057760243e-16
Sand,0.155,4.14966148070143e-16
Sand,0.156,4.50193238380042e-16
Sand,0.157,5.03419587530223e-16
Sand,0.158,5.79164833203044e-16
Sand,0.159,6.54910078875865e-16
Sand,0.16,7.30655324548686e-16
Sand,0.161,7.17882033228917e-16
Sand,0.162,6.2671594162051e-16
Sand,0.163,5.35549850012103e-16
Sand,0.164,4.44383758403696e-16
Sand,0.165,4.39213659606492e-16
Sand,0.166,4.87552178558479e-16
Sand,0.167,5.35890697510466e-16
Sand,0.168,5.84229216462452e-16
Sand,0.169,6.19951772067503e-16
Sand,0.17,6.50332749876638e-16
Sand,0.171,6.80713727685773e-16
Sand,0.172,7.11094705494907e-16
Sand,0.173,7.50792016258758e-16
Sand,0.174,7.92986011784666e-16
Sand,0.175,8.35180007310574e-16
Sand,0.176,8.77374002836482e-16
Sand,0.177,7.44180852265759e-16
Sand,0.178,5.85876342969792e-16
Sand,0.179,4.27571833673825e-16
Sand,0.18,2.69267324377858e-16
Sand,0.181,2.01184977761579e-16
Sand,0.182,1.36777668321662e-16
Sand,0.183,7.23703588817442e-17
Sand,0.184,1.22702497868754e-17
Sand,0.185,3.95704143602701e-17
Sand,0.186,6.68705789336647e-17
Sand,0.187,9.41707435070594e-17
Sand,0.188,1.23754664247819e-16
Sand,0.189,1.68216584725965e-16
Sand,0.19,2.12678505204112e-16
Sand,0.191,2.57140425682258e-16
Sand,0.192,2.86044160517095e-16
Sand,0.193,2.59521858997644e-16
Sand,0.194,2.32999557478194e-16
Sand,0.195,2.06477255958744e-16
Sand,0.196,1.9282612828434e-16
Sand,0.197,2.0846517185988e-16
Sand,0.198,2.2410421543542e-16
Sand,0.199,2.3974325901096e-16
Sand,0.2,2.33231652819086e-16
Sand,0.201,1.92275786238885e-16
Sand,0.202,1.51319919658684e-16
Sand,0.203,1.10364053078483e-16
Sand,0.204,1.00502090377492e-16
Sand,0.205,1.24665014298419e-16
Sand,0.206,1.48827938219346e-16
Sand,0.207,1.72990862140274e-16
Sand,0.208,2.1614159052537e-16
Sand,0.209,2.73994681394874e-16
Sand,0.21,3.31847772264376e-16
Sand,0.211,3.89700863133879e-16
Sand,0.212,4.35397005679794e-16
Sand,0.213,4.74538648978954e-16
Sand,0.214,5.13680292278114e-16
Sand,0.215,5.52821935577275e-16
Sand,0.216,4.94940549460132e-16
Sand,0.217,4.02223767142989e-16
Sand,0.218,3.09506984825846e-16
Sand,0.219,2.16790202508703e-16
Sand,0.22,1.58220405812053e-16
Sand,0.221,1.07049122666509e-16
Sand,0.222,5.58778395209649e-17
Sand,0.223,4.70655637542101e-18
Sand,0.224,6.81819912422055e-17
Sand,0.225,1.43270347976616e-16
Sand,0.226,2.18358704711026e-16
Sand,0.227,2.93447061445437e-16
Sand,0.228,3.41037227752714e-16
Sand,0.229,3.88465003171643e-16
Sand,0.23,4.35892778590572e-16
Sand,0.231,4.74111480323688e-16
Sand,0.232,4.0676275199995e-16
Sand,0.233,3.39414023676212e-16
Sand,0.234,2.72065295352474e-16
Sand,0.235,2.20664752369584e-16
Sand,0.236,2.49192761800814e-16
Sand,0.237,2.77720771232043e-16
Sand,0.238,3.06248780663273e-16
Sand,0.239,3.21542320844488e-16
Sand,0.24,2.97645417200088e-16
Sand,0.241,2.73748513555688e-16
Sand,0.242,2.49851609911287e-16
Sand,0.243,2.31864906985831e-16
Sand,0.244,2.25425301418774e-16
Sand,0.245,2.18985695851718e-16
Sand,0.246,2.12546090284661e-16
Sand,0.247,1.98865223910051e-16
Sand,0.248,1.75373617086498e-16
Sand,0.249,1.51882010262944e-16
Sand,0.25,1.28390403439391e-16
Sand,0.251,1.09708526938874e-16
Sand,0.252,9.56336718205747e-17
Sand,0.253,8.15588167022758e-17
Sand,0.254,6.74839615839769e-17
Sand,0.255,5.89766624879383e-17
Sand,0.256,5.42297454921803e-17
Sand,0.257,4.94828284964223e-17
Sand,0.258,4.47359115006642e-17
Sand,0.259,8.38962511247445e-17
Sand,0.26,1.43437609580954e-16
Sand,0.261,2.02978968037164e-16
Sand,0.262,2.62520326493373e-16
Sand,0.263,2.62628314229637e-16
Sand,0.264,2.44891167754826e-16
Sand,0.265,2.27154021280014e-16
Sand,0.266,2.09416874805203e-16
Sand,0.267,1.80365087770845e-16
Sand,0.268,1.49397320412904e-16
Sand,0.269,1.18429553054962e-16
Sand,0.27,8.74617856970202e-17
Sand,0.271,1.22300054779694e-16
Sand,0.272,1.61242650459494e-16
Sand,0.273,2.00185246139294e-16
Sand,0.274,2.40067630870511e-16
Sand,0.275,3.13312526927019e-16
Sand,0.276,3.86557422983527e-16
Sand,0.277,4.59802319040035e-16
Sand,0.278,5.24842842078136e-16
Sand,0.279,5.25804382748365e-16
Sand,0.28,5.26765923418593e-16
Sand,0.281,5.27727464088821e-16
Sand,0.282,5.15433770629944e-16
Sand,0.283,4.49989187378883e-16
Sand,0.284,3.84544604127822e-16
Sand,0.285,3.19100020876761e-16
Sand,0.286,2.58878766294075e-16
Sand,0.287,2.11715833382324e-16
Sand,0.288,1.64552900470573e-16
Sand,0.289,1.17389967558822e-16
Sand,0.29,9.45220994203414e-17
Sand,0.291,1.12700103872484e-16
Sand,0.292,1.30878108324626e-16
Sand,0.293,1.49056112776768e-16
Sand,0.294,1.64878509685122e-16
Sand,0.295,1.77912430996769e-16
Sand,0.296,1.90946352308415e-16
Sand,0.297,2.03980273620062e-16
Sand,0.298,1.88400032051654e-16
Sand,0.299,1.48837416558597e-16
Sand,0.3,1.09274801065539e-16
Sand,0.301,6.97121855724814e-17
Sand,0.302,4.62116479588157e-17
Sand,0.303,3.21388517091405e-17
Sand,0.304,1.80660554594654e-17
Sand,0.305,3.99325920979025e-18
Sand,0.306,0
Sand,0.307,0
Sand,0.308,0
Sand,0.309,0
Sand,0.31,0
Sand,0.311,0
Sand,0.312,0
Sand,0.313,0
Sand,0.314,0
Sand,0.315,0
Sand,0.316,0
Sand,0.317,0
Sand,0.318,0
Sand,0.319,0
Sand,0.32,0
Sand,0.321,0
Sand,0.322,0
Sand,0.323,0
Sand,0.324,0
Sand,0.325,0
Sand,0.326,0
Sand,0.327,0
Sand,0.328,0
Sand,0.329,0
Sand,0.33,0
Sand,0.331,0
Sand,0.332,0
Sand,0.333,0
Sand,0.334,0
Sand,0.335,0
Sand,0.336,0
Sand,0.337,0
Sand,0.338,0
Sand,0.339,0
Sand,0.34,0
Sand,0.341,0
Sand,0.342,0
Sand,0.343,0
Sand,0.344,0
Sand,0.345,0
Sand,0.346,0
Sand,0.347,0
Sand,0.348,0
Sand,0.349,0
Sand,0.35,0
Sand,0.351,0
Sand,0.352,0
Sand,0.353,0
Sand,0.354,0
Sand,0.355,0
Sand,0.356,0
Sand,0.357,0
Sand,0.358,0
Sand,0.359,0
Sand,0.36,0
Sand,0.361,0
Sand,0.362,0
Sand,0.363,0
Sand,0.364,0
Sand,0.365,0
Sand,0.366,0
Sand,0.367,0
Sand,0.368,0
Sand,0.369,0
Sand,0.37,0
Sand,0.371,0
Sand,0.372,3.27818520743437e-18
Sand,0.373,2.14863660878561e-17
Sand,0.374,3.96945469682778e-17
Sand,0.375,5.79027278486996e-17
Sand,0.376,8.67052760788164e-17
Sand,0.377,1.44720234280516e-16
Sand,0.378,2.02735192482215e-16
Sand,0.379,2.60750150683914e-16
Sand,0.38,3.12621794165211e-16
Sand,0.381,3.53196564466214e-16
Sand,0.382,3.93771334767217e-16
Sand,0.383,4.34346105068221e-16
Sand,0.384,4.54196676053457e-16
Sand,0.385,4.4749436666537e-16
Sand,0.386,4.40792057277284e-16
Sand,0.387,4.34089747889197e-16
Sand,0.388,4.18125254516486e-16
Sand,0.389,3.93762586859209e-16
Sand,0.39,3.69399919201933e-16
Sand,0.391,3.45037251544657e-16
Sand,0.392,3.0145628176255e-16
Sand,0.393,2.45617484663647e-16
Sand,0.394,1.89778687564744e-16
Sand,0.395,1.3393989046584e-16
Sand,0.396,1.29331185827426e-16
Sand,0.397,1.47027718074894e-16
Sand,0.398,1.64724250322362e-16
Sand,0.399,1.8242078256983e-16
Sand,0.4,1.54065254395117e-16
Sand,0.401,1.12930279453253e-16
Sand,0.402,7.17953045113883e-17
Sand,0.403,3.06603295695239e-17
Sand,0.404,6.56289210018098e-17
Sand,0.405,1.12081609161722e-16
Sand,0.406,1.58534297321633e-16
Sand,0.407,2.04986985481545e-16
Sand,0.408,2.5623943490266e-16
Sand,0.409,3.07718102579939e-16
Sand,0.41,3.59196770257217e-16
Sand,0.411,4.05240982996786e-16
Sand,0.412,3.24481247189997e-16
Sand,0.413,2.43721511383208e-16
Sand,0.414,1.6296177557642e-16
Sand,0.415,9.48877225684586e-17
Sand,0.416,1.13856969995486e-16
Sand,0.417,1.32826217422514e-16
Sand,0.418,1.51795464849541e-16
Sand,0.419,1.69272825952033e-16
Sand,0.42,1.81248000793392e-16
Sand,0.421,1.93223175634751e-16
Sand,0.422,2.05198350476109e-16
Sand,0.423,1.99763808124725e-16
Sand,0.424,1.53592803322347e-16
Sand,0.425,1.07421798519969e-16
Sand,0.426,6.12507937175916e-17
Sand,0.427,3.75061269428108e-17
Sand,0.428,4.95069938769893e-17
Sand,0.429,6.15078608111678e-17
Sand,0.43,7.35087277453463e-17
Sand,0.431,7.18310654945079e-17
Sand,0.432,5.48289099658508e-17
Sand,0.433,3.78267544371937e-17
Sand,0.434,2.08245989085366e-17
Sand,0.435,2.12688473896327e-17
Sand,0.436,3.55477881731985e-17
Sand,0.437,4.98267289567644e-17
Sand,0.438,6.41056697403303e-17
Sand,0.439,6.98806162865717e-17
Sand,0.44,7.09512255951447e-17
Sand,0.441,7.20218349037178e-17
Sand,0.442,7.30924442122908e-17
Sand,0.443,5.96959084798258e-17
Sand,0.444,4.0946916941294e-17
Sand,0.445,2.21979254027621e-17
Sand,0.446,3.44893386423029e-18
Sand,0.447,0
Sand,0.448,0
Sand,0.449,0
Sand,0.45,0
Sand,0.451,0
Sand,0.452,0
Sand,0.453,0
Sand,0.454,0
Sand,0.455,0
Sand,0.456,0
Sand,0.457,0
Sand,0.458,0
Sand,0.459,0
Sand,0.46,0
Sand,0.461,0
Sand,0.462,0
Sand,0.463,0
Sand,0.464,0
Sand,0.465,0
Sand,0.466,0
Sand,0.467,0
Sand,0.468,0
Sand,0.469,0
Sand,0.47,0
Sand,0.471,0
Sand,0.472,0
Sand,0.473,0
Sand,0.474,0
Sand,0.475,0
Sand,0.476,0
Sand,0.477,0
Sand,0.478,0
Sand,0.479,0
Sand,0.48,0
Sand,0.481,0
Sand,0.482,0
Sand,0.483,0
Sand,0.484,0
Sand,0.485,0
Sand,0.486,0
Sand,0.487,0
Sand,0.488,0
Sand,0.489,0
Sand,0.49,2.06374597009288e-18
Sand,0.491,4.76778235654784e-18
Sand,0.492,7.4718187430028e-18
Sand,0.493,1.01758551294578e-17
Sand,0.494,3.38411789463983e-17
Sand,0.495,6.12254408558437e-17
Sand,0.496,8.86097027652892e-17
Sand,0.497,1.15993964674735e-16
Sand,0.498,8.98340666685782e-17
Sand,0.499,5.99776053209696e-17
Sand,0.5,3.0121143973361e-17
Sand,0.501,9.73168767741092e-19
Sand,0.502,4.0291091070144e-18
Sand,0.503,7.08504944628771e-18
Sand,0.504,1.0140989785561e-17
Sand,0.505,1.25765912553638e-17
Sand,0.506,9.8690195528306e-18
Sand,0.507,7.16144785029742e-18
Sand,0.508,4.45387614776424e-18
Sand,0.509,4.32702252560518e-18
Sand,0.51,1.49401269753036e-17
Sand,0.511,2.55532314250021e-17
Sand,0.512,3.61663358747005e-17
Sand,0.513,4.06770581888338e-17
Sand,0.514,2.94837481541034e-17
Sand,0.515,1.82904381193731e-17
Sand,0.516,7.09712808464266e-18
Sand,0.517,0
Sand,0.518,0
Sand,0.519,0
Sand,0.52,0
Sand,0.521,3.49353867035337e-19
Sand,0.522,1.1221669668407e-18
Sand,0.523,1.89498006664606e-18
Sand,0.524,2.66779316645142e-18
Sand,0.525,2.80222632052882e-17
Sand,0.526,7.44722642899802e-17
Sand,0.527,1.20922265374672e-16
Sand,0.528,1.67372266459364e-16
Sand,0.529,1.5536011206461e-16
Sand,0.53,1.0816070421515e-16
Sand,0.531,6.09612963656904e-17
Sand,0.532,1.37618885162305e-17
Sand,0.533,3.30270645497467e-18
Sand,0.534,7.82301039000709e-18
Sand,0.535,1.23433143250395e-17
Sand,0.536,1.68636182600719e-17
Sand,0.537,1.42275139548315e-17
Sand,0.538,9.76274513610693e-18
Sand,0.539,5.29797631738232e-18
Sand,0.54,8.33207498657705e-19
Sand,0.541,5.66976622937577e-17
Sand,0.542,1.20588177880049e-16
Sand,0.543,1.8447869346634e-16
Sand,0.544,2.48369209052631e-16
Sand,0.545,2.16954825388362e-16
Sand,0.546,1.82459879324081e-16
Sand,0.547,1.47964933259801e-16
Sand,0.548,1.173298025543e-16
Sand,0.549,1.53276486787654e-16
Sand,0.55,1.89223171021008e-16
Sand,0.551,2.25169855254362e-16
Sand,0.552,2.47312653277107e-16
Sand,0.553,1.8529008954356e-16
Sand,0.554,1.23267525810013e-16
Sand,0.555,6.12449620764657e-17
Sand,0.556,2.97902062266729e-17
Sand,0.557,1.0242410653272e-16
Sand,0.558,1.75058006838768e-16
Sand,0.559,2.47691907144816e-16
Sand,0.56,2.75481990974377e-16
Sand,0.561,2.04895952408684e-16
Sand,0.562,1.34309913842991e-16
Sand,0.563,6.37238752772986e-17
Sand,0.564,1.91426649931062e-17
Sand,0.565,1.36961717795886e-17
Sand,0.566,8.24967856607109e-18
Sand,0.567,2.80318535255354e-18
Sand,0.568,0
Sand,0.569,0
Sand,0.57,0
Sand,0.571,0
Sand,0.572,0
Sand,0.573,0
Sand,0.574,0
Sand,0.575,0
Sand,0.576,0
Sand,0.577,0
Sand,0.578,0
Sand,0.579,0
Sand,0.58,0
Sand,0.581,0
Sand,0.582,0
Sand,0.583,0
Sand,0.584,2.15070749830151e-17
Sand,0.585,4.74271582762245e-17
Sand,0.586,7.33472415694339e-17
Sand,0.587,9.92673248626433e-17
Sand,0.588,8.10979599449523e-17
Sand,0.589,5.8877641452328e-17
Sand,0.59,3.66573229597037e-17
Sand,0.591,1.44732482120737e-17
Sand,0.592,1.07734834114886e-17
Sand,0.593,7.07371861090345e-18
Sand,0.594,3.37395381031832e-18
Sand,0.595,0
Sand,0.596,0
Sand,0.597,0
Sand,0.598,0
Sand,0.599,0
Sand,0.6,0
Sand,0.601,0
Sand,0.602,0
Sand,0.603,0
Sand,0.604,0
Sand,0.605,0
Sand,0.606,0
Sand,0.607,0
Sand,0.608,0
Sand,0.609,0
Sand,0.61,0
Sand,0.611,2.59071850346783e-17
Sand,0.612,8.58102237347685e-17
Sand,0.613,1.45713262434859e-16
Sand,0.614,2.05616301134949e-16
Sand,0.615,2.58666666687119e-16
Sand,0.616,3.05355682826503e-16
Sand,0.617,3.52044698965887e-16
Sand,0.618,3.98733715105271e-16
Sand,0.619,3.66059508163695e-16
Sand,0.62,2.81503841473408e-16
Sand,0.621,1.9694817478312e-16
Sand,0.622,1.12392508092832e-16
Sand,0.623,9.98409463096182e-17
Sand,0.624,1.1951785074543e-16
Sand,0.625,1.39194755181242e-16
Sand,0.626,1.58871659617054e-16
Sand,0.627,2.93293924745795e-16
Sand,0.628,4.60665739292651e-16
Sand,0.629,6.28037553839507e-16
Sand,0.63,7.95409368386363e-16
Sand,0.631,8.69899780705486e-16
Sand,0.632,9.29647113305927e-16
Sand,0.633,9.89394445906368e-16
Sand,0.634,1.04914177850681e-15
Sand,0.635,9.17601288475563e-16
Sand,0.636,7.7580619351974e-16
Sand,0.637,6.34011098563918e-16
Sand,0.638,4.93430908964898e-16
Sand,0.639,3.86125627193826e-16
Sand,0.64,2.78820345422753e-16
Sand,0.641,1.71515063651681e-16
Sand,0.642,9.38282608917776e-17
Sand,0.643,2.30636572261045e-16
Sand,0.644,3.67444883630312e-16
Sand,0.645,5.0425319499958e-16
Sand,0.646,6.23733589875533e-16
Sand,0.647,6.77008266074225e-16
Sand,0.648,7.30282942272916e-16
Sand,0.649,7.83557618471608e-16
Sand,0.65,7.81623898946814e-16
Sand,0.651,6.46821973714202e-16
Sand,0.652,5.1202004848159e-16
Sand,0.653,3.77218123248978e-16
Sand,0.654,2.67899096711003e-16
Sand,0.655,2.00219652060645e-16
Sand,0.656,1.32540207410288e-16
Sand,0.657,6.48607627599306e-17
Sand,0.658,6.94612822650631e-17
Sand,0.659,1.56971172419118e-16
Sand,0.66,2.44481062573173e-16
Sand,0.661,3.31990952727229e-16
Sand,0.662,3.47952007443752e-16
Sand,0.663,3.05811348276622e-16
Sand,0.664,2.63670689109492e-16
Sand,0.665,2.21530029942363e-16
Sand,0.666,2.17174741771859e-16
Sand,0.667,2.34262072111705e-16
Sand,0.668,2.5134940245155e-16
Sand,0.669,2.68436732791395e-16
Sand,0.67,2.4907424754068e-16
Sand,0.671,2.15821427159513e-16
Sand,0.672,1.82568606778346e-16
Sand,0.673,1.49315786397179e-16
Sand,0.674,1.19067143235062e-16
Sand,0.675,8.95223773440737e-17
Sand,0.676,5.99776114530859e-17
Sand,0.677,3.04328455620981e-17
Sand,0.678,4.88201718164811e-17
Sand,0.679,7.27542248911749e-17
Sand,0.68,9.66882779658686e-17
Sand,0.681,1.20622331040562e-16
Sand,0.682,1.04613923760132e-16
Sand,0.683,8.7889416592861e-17
Sand,0.684,7.11649094255897e-17
Sand,0.685,5.46131629100203e-17
Sand,0.686,4.04109612575922e-17
Sand,0.687,2.62087596051642e-17
Sand,0.688,1.20065579527362e-17
Sand,0.689,0
Sand,0.69,0
Sand,0.691,0
Sand,0.692,0
Sand,0.693,0
Sand,0.694,0
Sand,0.695,0
Sand,0.696,0
Sand,0.697,2.383731510773e-18
Sand,0.698,9.67766445690848e-18
Sand,0.699,1.69715974030439e-17
Sand,0.7,2.42655303491794e-17
Sand,0.701,2.72704828471695e-17
Sand,0.702,2.41773588786048e-17
Sand,0.703,2.10842349100401e-17
Sand,0.704,1.79911109414754e-17
Sand,0.705,1.43452283089256e-17
Sand,0.706,1.01444193313549e-17
Sand,0.707,5.94361035378409e-18
Sand,0.708,1.74280137621331e-18
Sand,0.709,0
Sand,0.71,0
Sand,0.711,0
Sand,0.712,0
Sand,0.713,6.87577803821589e-18
Sand,0.714,1.71192840951497e-17
Sand,0.715,2.73627901520834e-17
Sand,0.716,3.76062962090172e-17
Sand,0.717,5.72234718340708e-17
Sand,0.718,7.98440971398654e-17
Sand,0.719,1.0246472244566e-16
Sand,0.72,1.25085347751455e-16
Sand,0.721,1.35788248695898e-16
Sand,0.722,1.44279043030347e-16
Sand,0.723,1.52769837364795e-16
Sand,0.724,1.61260631699243e-16
Sand,0.725,1.4551062083585e-16
Sand,0.726,1.27923412104831e-16
Sand,0.727,1.10336203373812e-16
Sand,0.728,9.33301583655779e-17
Sand,0.729,1.12864782427376e-16
Sand,0.73,1.32399406489174e-16
Sand,0.731,1.51934030550973e-16
Sand,0.732,1.76261044593408e-16
Sand,0.733,2.42890116349531e-16
Sand,0.734,3.09519188105655e-16
Sand,0.735,3.76148259861778e-16
Sand,0.736,4.26689431091042e-16
Sand,0.737,4.07683949001087e-16
Sand,0.738,3.88678466911131e-16
Sand,0.739,3.69672984821175e-16
Sand,0.74,3.55396128653339e-16
Sand,0.741,3.53650131179117e-16
Sand,0.742,3.51904133704896e-16
Sand,0.743,3.50158136230674e-16
Sand,0.744,3.37213831450851e-16
Sand,0.745,3.04368187057272e-16
Sand,0.746,2.71522542663692e-16
Sand,0.747,2.38676898270113e-16
Sand,0.748,2.1232662379246e-16
Sand,0.749,1.94038584780627e-16
Sand,0.75,1.75750545768794e-16
Sand,0.751,1.57462506756961e-16
Sand,0.752,1.68136626110928e-16
Sand,0.753,2.04259112558371e-16
Sand,0.754,2.40381599005813e-16
Sand,0.755,2.76504085453255e-16
Sand,0.756,3.13391088639348e-16
Sand,0.757,3.50749866395178e-16
Sand,0.758,3.88108644151008e-16
Sand,0.759,4.25467421906838e-16
Sand,0.76,4.08261047907531e-16
Sand,0.761,3.68167624144269e-16
Sand,0.762,3.28074200381007e-16
Sand,0.763,2.87980776617745e-16
Sand,0.764,2.54727271798785e-16
Sand,0.765,2.23285329670518e-16
Sand,0.766,1.91843387542251e-16
Sand,0.767,1.60401445413984e-16
Sand,0.768,2.18686573290158e-16
Sand,0.769,2.89589570385701e-16
Sand,0.77,3.60492567481244e-16
Sand,0.771,4.31395564576787e-16
Sand,0.772,4.80867621228624e-16
Sand,0.773,5.29512060261702e-16
Sand,0.774,5.7815649929478e-16
Sand,0.775,6.21199670215026e-16
Sand,0.776,5.55354189021959e-16
Sand,0.777,4.89508707828893e-16
Sand,0.778,4.23663226635827e-16
Sand,0.779,3.54057364016258e-16
Sand,0.78,2.60363260954471e-16
Sand,0.781,1.66669157892683e-16
Sand,0.782,7.2975054830896e-17
Sand,0.783,4.43772469142545e-18
Sand,0.784,2.45056655526437e-17
Sand,0.785,4.4573606413862e-17
Sand,0.786,6.46415472750802e-17
Sand,0.787,9.24236621149819e-17
Sand,0.788,1.37599519556495e-16
Sand,0.789,1.82775376998007e-16
Sand,0.79,2.2795123443952e-16
Sand,0.791,2.49868729183429e-16
Sand,0.792,2.35915117279305e-16
Sand,0.793,2.21961505375181e-16
Sand,0.794,2.08007893471057e-16
Sand,0.795,1.76153184206561e-16
Sand,0.796,1.24862997807954e-16
Sand,0.797,7.35728114093475e-17
Sand,0.798,2.22826250107406e-17
Sand,0.799,0
Sand,0.8,0
Sand,0.801,0
Sand,0.802,0
Sand,0.803,0
Sand,0.804,0
Sand,0.805,0
Sand,0.806,0
Sand,0.807,0
Sand,0.808,0
Sand,0.809,0
Sand,0.81,0
Sand,0.811,0
Sand,0.812,0
Sand,0.813,0
Sand,0.814,0
Sand,0.815,0
Sand,0.816,0
Sand,0.817,0
Sand,0.818,0
Sand,0.819,0
Sand,0.82,0
Sand,0.821,0
Sand,0.822,0
Sand,0.823,0
Sand,0.824,0
